epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5736,1.32722,3.45281,1.53671,0.0062,0.75,0.24744,0.1751,0.98033,3.62534,1.32074,8.75e-05,8.75e-05,8.75e-05
2,34.1711,1.26232,2.90582,1.38733,0.01129,0.75,0.36719,0.23936,1.16568,3.48282,1.37895,0.000183787,0.000183787,0.000183787
3,51.6955,1.26219,2.20118,1.39174,0.3616,0.71429,0.40663,0.29541,1.00646,3.07322,1.25549,0.000276115,0.000276115,0.000276115
4,69.7157,1.17714,1.82016,1.35846,0.5675,0.55357,0.50853,0.33504,0.99774,3.0353,1.28454,0.000364482,0.000364482,0.000364482
5,86.9561,1.16455,1.61675,1.27509,0.71478,0.30567,0.47921,0.31383,1.11028,2.95026,1.36643,0.00044889,0.00044889,0.00044889
6,103.388,1.153,1.51567,1.28897,0.86412,0.38137,0.48842,0.32465,1.30485,2.99338,1.52169,0.000529338,0.000529338,0.000529338
7,119.728,1.14384,1.45627,1.27349,0.79947,0.32143,0.60506,0.39535,1.44813,2.92339,1.68822,0.000605825,0.000605825,0.000605825
8,136.004,1.1337,1.40441,1.28622,0.86831,0.44546,0.68327,0.47467,1.29451,2.54813,1.50358,0.000678352,0.000678352,0.000678352
9,152.22,1.05014,1.29791,1.24238,0.75541,0.55357,0.80763,0.42975,1.53459,2.60711,1.70032,0.00074692,0.00074692,0.00074692
10,168.9,1.04267,1.22563,1.22272,0.66843,0.72627,0.85361,0.47095,1.6644,2.29554,1.86636,0.000811528,0.000811528,0.000811528
11,185.268,1.01166,1.23719,1.23939,0.75367,0.74658,0.8626,0.47829,1.47883,2.29824,1.7118,0.000872175,0.000872175,0.000872175
12,201.722,1.07076,1.2028,1.23563,0.74828,0.85119,0.88311,0.50086,1.30075,2.01089,1.58809,0.000928863,0.000928863,0.000928863
13,218.016,1.02235,1.15963,1.23782,0.83659,0.73138,0.86386,0.51582,1.32281,1.93747,1.6751,0.000953,0.000953,0.000953
14,234.688,1.01597,1.20107,1.21375,0.81288,0.77752,0.84946,0.56206,1.34546,2.03354,1.70665,0.00092825,0.00092825,0.00092825
15,252.357,0.99304,1.14826,1.21338,0.64344,0.79767,0.73784,0.48294,1.13951,2.34413,1.44521,0.0009035,0.0009035,0.0009035
16,268.999,0.94982,1.09453,1.18421,0.81761,0.61229,0.7617,0.54661,1.10989,2.24363,1.45162,0.00087875,0.00087875,0.00087875
17,285.394,0.97871,1.13824,1.21174,0.76236,0.62202,0.75777,0.48942,1.40899,2.09859,1.74965,0.000854,0.000854,0.000854
18,301.816,0.95192,1.09423,1.18078,0.77716,0.78762,0.84251,0.49777,1.47123,1.91991,1.85871,0.00082925,0.00082925,0.00082925
19,318.238,0.84752,0.9764,1.10622,0.84852,0.71377,0.83054,0.48682,1.36747,1.79645,1.76528,0.0008045,0.0008045,0.0008045
20,334.622,0.85994,0.94016,1.1116,0.88428,0.85113,0.91161,0.49371,1.42171,1.66918,1.77703,0.00077975,0.00077975,0.00077975
21,351.04,0.87702,0.95143,1.11389,0.89,0.83223,0.87634,0.48687,1.4071,1.81785,1.7576,0.000755,0.000755,0.000755
22,367.932,0.88639,0.94962,1.1344,0.94008,0.8405,0.89096,0.51909,1.37457,1.79752,1.70665,0.00073025,0.00073025,0.00073025
23,385.641,0.84527,0.92075,1.10544,0.91882,0.87734,0.88835,0.55434,1.40161,1.65198,1.83182,0.0007055,0.0007055,0.0007055
24,403.781,0.88532,0.91301,1.10375,0.87691,0.8802,0.91634,0.53807,1.35771,1.58072,1.7305,0.00068075,0.00068075,0.00068075
25,422.076,0.7812,0.83423,1.06552,0.8603,0.84251,0.90022,0.56073,1.19907,1.5571,1.54159,0.000656,0.000656,0.000656
26,440.159,0.80089,0.87631,1.07624,0.90621,0.84009,0.91413,0.54441,1.27237,1.54377,1.64162,0.00063125,0.00063125,0.00063125
27,458.056,0.76581,0.82552,1.04964,0.93479,0.87775,0.92621,0.53342,1.29233,1.49374,1.68696,0.0006065,0.0006065,0.0006065
28,476.172,0.76548,0.83802,1.06394,0.927,0.85584,0.92843,0.56989,1.2119,1.41373,1.56799,0.00058175,0.00058175,0.00058175
29,494.153,0.83348,0.88664,1.10616,0.91928,0.87541,0.93025,0.55466,1.28084,1.4733,1.62386,0.000557,0.000557,0.000557
30,512.025,0.79566,0.84322,1.08945,0.9053,0.88051,0.93567,0.61074,1.2824,1.39896,1.60863,0.00053225,0.00053225,0.00053225
31,530.047,0.74738,0.79682,1.04051,0.89046,0.9122,0.9458,0.63645,1.30449,1.34066,1.60293,0.0005075,0.0005075,0.0005075
32,548.01,0.70353,0.75447,1.02055,0.97374,0.89009,0.95026,0.61621,1.33591,1.34534,1.66902,0.00048275,0.00048275,0.00048275
